merchant_id,payment_month,mtu_type,txn_count,gmv,churn_month
II09zYS24Akf0A,2022-12-01,Retained,147,89187.0,
IUtvW40wreqxqg,2023-04-01,Retained,29,161271.0,
IaUzD9dKxtgMgk,2023-04-01,Retained,194,205580.0,
Ih9jVLeQjmmyli,2022-06-01,Retained,2,1750.0,
IqNTVPOIPRtPIJ,2023-07-01,Retained,527,9007192.0,2023-08-01
K7rNn3WmGCnIIG,2023-04-01,Retained,4838,21060828.95,
J9eJhnTdZskEfy,2023-07-01,Retained,46,65084.01,2023-08-01
JC3HmuHGsKassr,2023-05-01,Retained,369,1268000.0,
JEg0Q2e17dtj1m,2023-07-01,Retained,9,3433.0,2023-08-01
JGNLzwb9cHGnxH,2023-02-01,Revived,2,100.0,
JOlWjij43pga28,2022-07-01,Retained,18,28243.0,
JeVjHH9G47LOYT,2022-06-01,New,23,88077.1,
JnfhSYVGJEam8R,2022-08-01,New,1,3300.0,2022-09-01
KSrBdRpaX8MZXv,2022-11-01,Retained,1,1.02,2022-12-01
